depth,gamma
2766.0203,26.0611
2766.187,28.3092
2766.3536,25.7996
2766.5203,24.0579
2766.687,20.1764
2766.8536,20.8503
2767.0203,20.9521
2767.187,19.7702
2767.3536,22.5688
2767.5203,23.4372
2767.687,23.8756
2767.8536,22.0475
2768.0203,22.5065
2768.187,20.2355
2768.3536,21.031
2768.5203,24.0702
2768.687,24.102
2768.8536,23.6758
2769.0203,19.6135
2769.187,24.1583
2769.3536,26.4361
2769.5203,29.5317
2769.687,29.0814
2769.8536,25.1979
2770.0203,20.4128
2770.187,17.1969
2770.3536,18.665
2770.5203,21.8157
2770.687,24.9968
2770.8536,22.701
2771.0203,19.1195
2771.187,15.1214
2771.3536,15.0644
2771.5203,15.4763
2771.687,16.9141
2771.8536,17.2277
2772.0203,17.6843
2772.187,17.5372
2772.3536,19.1127
2772.5203,21.9868
2772.687,25.6081
2772.8536,26.4244
2773.0203,22.137
2773.187,20.8814
2773.3536,21.6184
2773.5203,24.0019
2773.687,22.612
2773.8536,24.0823
2774.0203,21.9462
2774.187,21.2553
2774.3536,16.6986
2774.5203,19.9366
2774.687,21.3776
2774.8536,24.2731
2775.0203,22.9783
2775.187,24.2296
2775.3536,21.7489
2775.5203,18.8614
2775.687,14.2569
2775.8536,13.9702
2776.0203,13.7637
2776.187,16.5146
2776.3536,18.1075
2776.5203,18.0755
2776.687,17.9575
2776.8536,17.5987
2777.0203,20.2287
2777.187,25.7923
2777.3536,25.8021
2777.5203,25.5764
2777.687,21.8992
2777.8536,25.1611
2778.0203,27.3758
2778.187,27.1398
2778.3536,25.2919
2778.5203,22.4597
2778.687,23.2918
2778.8536,22.2099
2779.0203,23.1405
2779.187,24.6876
2779.3536,25.1947
2779.5203,26.0034
2779.687,23.4906
2779.8536,20.8162
2780.0203,19.7539
2780.187,17.8391
2780.3536,19.9901
2780.5203,20.0778
2780.687,23.5708
2780.8536,24.9588
2781.0203,24.2052
2781.187,21.4673
2781.3536,20.3201
2781.5203,19.752
2781.687,18.0168
2781.8536,15.852
2782.0203,14.1348
2782.187,12.429
2782.3536,13.7282
2782.5203,17.366
2782.687,19.8548
2782.8536,18.9179
2783.0203,17.5437
2783.187,18.4671
2783.3536,20.8799
2783.5203,25.533
2783.687,27.513
2783.8536,26.5379
2784.0203,21.6448
2784.187,17.934
2784.3536,19.3245
2784.5203,21.3826
2784.687,23.4276
2784.8536,24.9652
2785.0203,24.9346
2785.187,24.2296
2785.3536,21.8069
2785.5203,21.5704
2785.687,25.2668
2785.8536,25.7636
2786.0203,25.5083
2786.187,23.987
2786.3536,25.9619
2786.5203,25.3636
2786.687,24.5966
2786.8536,22.3754
2787.0203,26.894
2787.187,24.4516
2787.3536,24.8092
2787.5203,20.2405
2787.687,23.6899
2787.8536,22.379
2788.0203,20.9832
2788.187,18.8639
2788.3536,20.0986
2788.5203,23.3864
2788.687,23.6261
2788.8536,23.0549
2789.0203,21.6457
2789.187,21.8953
2789.3536,21.3814
2789.5203,20.4286
2789.687,21.229
2789.8536,20.5098
2790.0203,19.9504
2790.187,19.1521
2790.3536,23.9703
2790.5203,25.5206
2790.687,25.8048
2790.8536,22.6223
2791.0203,21.9671
2791.187,19.7885
2791.3536,19.2837
2791.5203,16.9171
2791.687,20.8792
2791.8536,22.6606
2792.0203,25.041
2792.187,24.2535
2792.3536,25.0005
2792.5203,24.9314
2792.687,22.6799
2792.8536,19.5188
2793.0203,20.4101
2793.187,23.0099
2793.3536,23.3063
2793.5203,21.3445
2793.687,22.9179
2793.8536,23.9932
2794.0203,25.4399
2794.187,22.8761
2794.3536,22.2636
2794.5203,22.6208
2794.687,20.2594
2794.8536,21.5395
2795.0203,20.8605
2795.187,23.7928
2795.3536,24.2107
2795.5203,24.4773
2795.687,23.4524
2795.8536,21.5196
2796.0203,23.0524
2796.187,22.2329
2796.3536,21.331
2796.5203,20.0169
2796.687,19.6152
2796.8536,19.0114
2797.0203,17.5274
2797.187,19.421
2797.3536,20.3807
2797.5203,21.864
2797.687,20.6567
2797.8536,25.1173
2798.0203,27.3594
2798.187,29.939
2798.3536,25.0823
2798.5203,24.3005
2798.687,21.3387
2798.8536,23.138
2799.0203,21.586
2799.187,23.1069
2799.3536,21.2086
2799.5203,21.9475
2799.687,19.7143
2799.8536,21.7644
2800.0203,22.2796
2800.187,26.1706
2800.3536,27.3754
2800.5203,26.8616
2800.687,25.4399
2800.8536,23.6305
2801.0203,21.9407
2801.187,20.6567
2801.3536,24.7534
2801.5203,27.3136
2801.687,27.0559
2801.8536,24.8835
2802.0203,23.2594
2802.187,24.4537
2802.3536,22.7265
2802.5203,22.9834
2802.687,21.6429
2802.8536,22.4228
2803.0203,22.9425
2803.187,24.5663
2803.3536,27.8951
2803.5203,27.2866
2803.687,28.0728
2803.8536,28.4005
2804.0203,28.3836
2804.187,29.2888
2804.3536,30.3846
2804.5203,30.5062
2804.687,32.2953
2804.8536,29.7407
2805.0203,34.2408
2805.187,29.8995
2805.3536,32.8022
2805.5203,30.3391
2805.687,30.6517
2805.8536,28.0239
2806.0203,30.3959
2806.187,31.7672
2806.3536,33.2982
2806.5203,31.1525
2806.687,31.4464
2806.8536,30.7362
2807.0203,30.2592
2807.187,32.1962
2807.3536,32.5705
2807.5203,30.6594
2807.687,30.5254
2807.8536,27.0456
2808.0203,29.0632
2808.187,32.0045
2808.3536,32.1227
2808.5203,34.1874
2808.687,27.5426
2808.8536,27.8614
2809.0203,28.5432
2809.187,33.3642
2809.3536,35.6596
2809.5203,32.976
2809.687,31.2735
2809.8536,27.3909
2810.0203,25.7962
2810.187,23.0764
2810.3536,21.5635
2810.5203,21.2787
2810.687,19.9396
2810.8536,23.2663
2811.0203,23.3535
2811.187,23.5521
2811.3536,19.9056
2811.5203,17.9823
2811.687,20.3312
2811.8536,22.5393
2812.0203,25.0899
2812.187,24.8931
2812.3536,24.9496
2812.5203,22.8018
2812.687,23.5192
2812.8536,24.9243
2813.0203,27.4002
2813.187,28.8806
2813.3536,26.4064
2813.5203,27.0652
2813.687,26.826
2813.8536,28.7967
2814.0203,26.6194
2814.187,22.9789
2814.3536,23.6221
2814.5203,25.4042
2814.687,23.484
2814.8536,22.6923
2815.0203,20.5561
2815.187,23.7897
2815.3536,23.4638
2815.5203,26.5122
2815.687,29.7849
2815.8536,29.5871
2816.0203,29.4974
2816.187,26.4052
2816.3536,27.6126
2816.5203,23.9227
2816.687,23.9695
2816.8536,24.5742
2817.0203,26.4222
2817.187,25.9898
2817.3536,23.2387
2817.5203,24.9295
2817.687,24.0656
2817.8536,25.5988
2818.0203,23.4563
2818.187,23.938
2818.3536,24.1003
2818.5203,24.8701
2818.687,25.0673
2818.8536,24.7381
2819.0203,24.9814
2819.187,24.6056
2819.3536,24.91
2819.5203,27.4316
2819.687,29.3475
2819.8536,28.9039
2820.0203,28.9395
2820.187,32.247
2820.3536,35.923
2820.5203,35.7187
2820.687,33.4902
2820.8536,28.1978
2821.0203,28.8288
2821.187,26.1236
2821.3536,29.9911
2821.5203,26.9886
2821.687,28.5428
2821.8536,24.0147
2822.0203,24.0827
2822.187,19.5073
2822.3536,21.3083
2822.5203,25.2618
2822.687,29.8693
2822.8536,27.7958
2823.0203,23.144
2823.187,21.7629
2823.3536,25.2579
2823.5203,26.6611
2823.687,26.1266
2823.8536,25.4528
2824.0203,25.8721
2824.187,25.5829
2824.3536,23.2282
2824.5203,22.3784
2824.687,24.6228
2824.8536,24.8289
2825.0203,23.5284
2825.187,22.2626
2825.3536,23.7158
2825.5203,24.2191
